0.137	0.241	0.215
0.933	0.764	0.713
0.114	0.865	0.394
0.099	0.320	0.666
0.485	0.814	0.799
0.445	0.462	0.672
0.101	0.116	0.227
0.730	0.272	0.293
0.089	0.331	0.666
0.294	0.202	0.352
0.470	0.067	0.319
0.014	0.478	0.551
0.471	0.386	0.262
0.199	0.246	0.146
0.968	0.595	0.465
0.495	0.866	0.615
0.984	0.121	0.221
0.730	0.964	0.400
0.025	0.148	0.458
0.736	0.201	0.824
0.337	0.737	0.195
0.945	0.098	0.427
0.078	0.297	0.008
0.928	0.358	0.216
0.422	0.633	0.071
0.400	0.242	0.838
0.439	0.779	0.584
0.825	0.213	0.870
0.606	0.184	0.208
0.515	0.387	0.344
0.959	0.986	0.040
0.959	0.611	0.843
0.885	0.556	0.489
0.088	0.477	0.032
0.014	0.326	0.711
0.592	0.669	0.662
0.399	0.260	0.352
0.249	0.096	0.936
0.737	0.838	0.499
0.858	0.497	0.492
0.718	0.682	0.617
0.727	0.688	0.889
0.515	0.906	0.566
0.718	0.228	0.852
0.985	0.865	0.886
0.709	0.165	0.481
0.779	0.647	0.563
0.693	0.968	0.364
0.868	0.084	0.976
0.973	0.613	0.438
0.333	0.011	0.458
0.034	0.054	0.272
0.720	0.525	0.851
0.822	0.591	0.239
0.790	0.593	0.888
0.407	0.868	0.884
0.893	0.415	0.676
0.796	0.073	0.627
0.728	0.968	0.419
0.491	0.088	0.887
0.746	0.553	0.961
0.596	0.782	0.834
0.980	0.645	0.395
0.557	0.432	0.687
0.503	0.352	0.619
0.632	0.395	0.818
0.034	0.199	0.060
0.019	0.746	0.192
0.386	0.057	0.340
0.349	0.239	0.131
0.693	0.068	0.399
0.354	0.901	0.819
0.036	0.642	0.988
0.589	0.055	0.331
0.193	0.556	0.730
0.284	0.220	0.239
0.576	0.626	0.801
0.212	0.186	0.080
0.415	0.577	0.488
0.327	0.869	0.791
0.000	0.172	0.957
0.443	0.598	0.351
0.715	0.738	0.534
0.065	0.500	0.703
0.187	0.540	0.523
0.384	0.773	0.343
0.622	0.888	0.741
0.092	0.189	0.969
0.483	0.316	0.397
0.053	0.408	0.979
0.526	0.099	0.251
0.533	0.216	0.113
0.409	0.382	0.993
0.422	0.137	0.835
0.092	0.724	0.318
0.441	0.272	0.574
0.557	0.230	0.412
0.506	0.311	0.783
0.354	0.223	0.315
0.998	0.688	0.117
0.834	0.898	0.596
0.687	0.760	0.293
0.905	0.330	0.865
0.159	0.677	0.810
0.449	0.718	0.312
0.825	0.722	0.711
0.512	0.281	0.475
0.900	0.547	0.095
0.501	0.310	0.991
0.911	0.085	0.363
0.978	0.752	0.680
0.424	0.632	0.346
0.665	0.136	0.258
0.019	0.874	0.890
0.593	0.447	0.540
0.967	0.632	0.961
0.090	0.364	0.970
0.144	0.217	0.046
0.673	0.205	0.737
0.770	0.843	0.035
0.124	0.659	0.532
0.782	0.066	0.423
0.586	0.099	0.515
0.399	0.158	0.541
0.031	0.855	0.751
0.788	0.008	0.962
0.565	0.537	0.295
0.266	0.455	0.146
0.058	0.505	0.898
