0.137	0.241	0.215	0.588
0.933	0.764	0.713	0.063
0.114	0.865	0.394	0.077
0.099	0.320	0.666	0.118
0.485	0.814	0.799	0.081
0.445	0.462	0.672	0.760
0.101	0.116	0.227	0.737
0.730	0.272	0.293	0.327
0.089	0.331	0.666	0.148
0.294	0.202	0.352	0.070
0.470	0.067	0.319	0.933
0.014	0.478	0.551	0.539
0.471	0.386	0.262	0.337
0.199	0.246	0.146	0.870
0.968	0.595	0.465	0.323
0.495	0.866	0.615	0.875
0.984	0.121	0.221	0.506
0.730	0.964	0.400	0.255
0.025	0.148	0.458	0.904
0.736	0.201	0.824	0.513
0.337	0.737	0.195	0.223
0.945	0.098	0.427	0.291
0.078	0.297	0.008	0.636
0.928	0.358	0.216	0.047
0.422	0.633	0.071	0.560
0.400	0.242	0.838	0.473
0.439	0.779	0.584	0.380
0.825	0.213	0.870	0.307
0.606	0.184	0.208	0.532
0.515	0.387	0.344	0.890
0.959	0.986	0.040	0.402
0.959	0.611	0.843	0.579
0.885	0.556	0.489	0.444
0.088	0.477	0.032	0.808
0.014	0.326	0.711	0.040
0.592	0.669	0.662	0.273
0.399	0.260	0.352	0.513
0.249	0.096	0.936	0.012
0.737	0.838	0.499	0.261
0.858	0.497	0.492	0.167
0.718	0.682	0.617	0.546
0.727	0.688	0.889	0.015
0.515	0.906	0.566	0.385
0.718	0.228	0.852	0.037
0.985	0.865	0.886	0.823
0.709	0.165	0.481	0.710
0.779	0.647	0.563	0.274
0.693	0.968	0.364	0.164
0.868	0.084	0.976	0.145
0.973	0.613	0.438	0.259
0.333	0.011	0.458	0.018
0.034	0.054	0.272	0.066
0.720	0.525	0.851	0.490
0.822	0.591	0.239	0.397
0.790	0.593	0.888	0.258
0.407	0.868	0.884	0.298
0.893	0.415	0.676	0.184
0.796	0.073	0.627	0.671
0.728	0.968	0.419	0.802
0.491	0.088	0.887	0.777
0.746	0.553	0.961	0.493
0.596	0.782	0.834	0.685
0.980	0.645	0.395	0.931
0.557	0.432	0.687	0.570
0.503	0.352	0.619	0.179
0.632	0.395	0.818	0.378
0.034	0.199	0.060	0.675
0.019	0.746	0.192	0.697
0.386	0.057	0.340	0.600
0.349	0.239	0.131	0.840
0.693	0.068	0.399	0.940
0.354	0.901	0.819	0.193
0.036	0.642	0.988	0.874
0.589	0.055	0.331	0.616
0.193	0.556	0.730	0.471
0.284	0.220	0.239	0.883
0.576	0.626	0.801	0.590
0.212	0.186	0.080	0.659
0.415	0.577	0.488	0.171
0.327	0.869	0.791	0.092
0.000	0.172	0.957	0.129
0.443	0.598	0.351	0.320
0.715	0.738	0.534	0.613
0.065	0.500	0.703	0.764
0.187	0.540	0.523	0.080
0.384	0.773	0.343	0.692
0.622	0.888	0.741	0.016
0.092	0.189	0.969	0.327
0.483	0.316	0.397	0.778
0.053	0.408	0.979	0.446
0.526	0.099	0.251	0.506
0.533	0.216	0.113	0.280
0.409	0.382	0.993	0.430
0.422	0.137	0.835	0.746
0.092	0.724	0.318	0.708
0.441	0.272	0.574	0.080
0.557	0.230	0.412	0.491
0.506	0.311	0.783	0.415
0.354	0.223	0.315	0.620
0.998	0.688	0.117	0.434
0.834	0.898	0.596	0.997
0.687	0.760	0.293	0.606
