0.137	0.241	0.215	0.588	0.269	
0.933	0.764	0.713	0.063	0.427	
0.114	0.865	0.394	0.077	0.164	
0.099	0.320	0.666	0.118	0.793	
0.485	0.814	0.799	0.081	0.896	
0.445	0.462	0.672	0.760	0.167	
0.101	0.116	0.227	0.737	0.037	
0.730	0.272	0.293	0.327	0.801	
0.089	0.331	0.666	0.148	0.932	
0.294	0.202	0.352	0.070	0.653	
0.470	0.067	0.319	0.933	0.021	
0.014	0.478	0.551	0.539	0.661	
0.471	0.386	0.262	0.337	0.782	
0.199	0.246	0.146	0.870	0.897	
0.968	0.595	0.465	0.323	0.418	
0.495	0.866	0.615	0.875	0.430	
0.984	0.121	0.221	0.506	0.630	
0.730	0.964	0.400	0.255	0.531	
0.025	0.148	0.458	0.904	0.121	
0.736	0.201	0.824	0.513	0.799	
0.337	0.737	0.195	0.223	0.485	
0.945	0.098	0.427	0.291	0.050	
0.078	0.297	0.008	0.636	0.323	
0.928	0.358	0.216	0.047	0.999	
0.422	0.633	0.071	0.560	0.231	
0.400	0.242	0.838	0.473	0.397	
0.439	0.779	0.584	0.380	0.907	
0.825	0.213	0.870	0.307	0.802	
0.606	0.184	0.208	0.532	0.603	
0.515	0.387	0.344	0.890	0.336	
0.959	0.986	0.040	0.402	0.898	
0.959	0.611	0.843	0.579	0.121	
0.885	0.556	0.489	0.444	0.894	
0.088	0.477	0.032	0.808	0.541	
0.014	0.326	0.711	0.040	0.436	
0.592	0.669	0.662	0.273	0.789	
0.399	0.260	0.352	0.513	0.883	
0.249	0.096	0.936	0.012	0.736	
0.737	0.838	0.499	0.261	0.592	
0.858	0.497	0.492	0.167	0.922	
0.718	0.682	0.617	0.546	0.559	
0.727	0.688	0.889	0.015	0.709	
0.515	0.906	0.566	0.385	0.148	
0.718	0.228	0.852	0.037	0.591	
0.985	0.865	0.886	0.823	0.333	
0.709	0.165	0.481	0.710	0.904	
0.779	0.647	0.563	0.274	0.493	
0.693	0.968	0.364	0.164	0.219	
0.868	0.084	0.976	0.145	0.752	
0.973	0.613	0.438	0.259	0.149	
0.333	0.011	0.458	0.018	0.939	
0.034	0.054	0.272	0.066	0.033	
0.720	0.525	0.851	0.490	0.648	
0.822	0.591	0.239	0.397	0.745	
0.790	0.593	0.888	0.258	0.974	
0.407	0.868	0.884	0.298	0.655	
0.893	0.415	0.676	0.184	0.254	
0.796	0.073	0.627	0.671	0.103	
0.728	0.968	0.419	0.802	0.077	
0.491	0.088	0.887	0.777	0.566	
0.746	0.553	0.961	0.493	0.440	
0.596	0.782	0.834	0.685	0.238	
0.980	0.645	0.395	0.931	0.992	
0.557	0.432	0.687	0.570	0.331	
0.503	0.352	0.619	0.179	0.237	
0.632	0.395	0.818	0.378	0.626	
0.034	0.199	0.060	0.675	0.247	
0.019	0.746	0.192	0.697	0.364	
0.386	0.057	0.340	0.600	0.376	
0.349	0.239	0.131	0.840	0.859	
0.693	0.068	0.399	0.940	0.712	
0.354	0.901	0.819	0.193	0.577	
0.036	0.642	0.988	0.874	0.594	
0.589	0.055	0.331	0.616	0.209	
0.193	0.556	0.730	0.471	0.809	
0.284	0.220	0.239	0.883	0.731	
0.576	0.626	0.801	0.590	0.392	
0.212	0.186	0.080	0.659	0.964	
0.415	0.577	0.488	0.171	0.830	
0.327	0.869	0.791	0.092	0.128	
0.000	0.172	0.957	0.129	0.118	
0.443	0.598	0.351	0.320	0.142	
0.715	0.738	0.534	0.613	0.621	
0.065	0.500	0.703	0.764	0.262	
0.187	0.540	0.523	0.080	0.192	
0.384	0.773	0.343	0.692	0.841	
0.622	0.888	0.741	0.016	0.837	
0.092	0.189	0.969	0.327	0.712	
0.483	0.316	0.397	0.778	0.875	
0.053	0.408	0.979	0.446	0.554	
0.526	0.099	0.251	0.506	0.112	
0.533	0.216	0.113	0.280	0.350	
0.409	0.382	0.993	0.430	0.232	
0.422	0.137	0.835	0.746	0.012	
0.092	0.724	0.318	0.708	0.661	
0.441	0.272	0.574	0.080	0.850	
0.557	0.230	0.412	0.491	0.213	
0.506	0.311	0.783	0.415	0.955	
0.354	0.223	0.315	0.620	0.759	
0.998	0.688	0.117	0.434	0.781	
0.834	0.898	0.596	0.997	0.296	
0.687	0.760	0.293	0.606	0.887	
0.905	0.330	0.865	0.396	0.056	
0.159	0.677	0.810	0.473	0.424	
0.449	0.718	0.312	0.231	0.258	
0.825	0.722	0.711	0.365	0.754	
0.512	0.281	0.475	0.964	0.651	
0.900	0.547	0.095	0.157	0.347	
0.501	0.310	0.991	0.506	0.635	
0.911	0.085	0.363	0.934	0.276	
0.978	0.752	0.680	0.270	0.553	
0.424	0.632	0.346	0.395	0.140	
0.665	0.136	0.258	0.918	0.404	
0.019	0.874	0.890	0.420	0.248	
0.593	0.447	0.540	0.148	0.471	
0.967	0.632	0.961	0.704	0.402	
0.090	0.364	0.970	0.614	0.846	
0.144	0.217	0.046	0.247	0.881	
0.673	0.205	0.737	0.100	0.055	
0.770	0.843	0.035	0.669	0.280	
0.124	0.659	0.532	0.187	0.613	
0.782	0.066	0.423	0.409	0.207	
0.586	0.099	0.515	0.468	0.460	
0.399	0.158	0.541	0.349	0.249	
0.031	0.855	0.751	0.968	0.469	
0.788	0.008	0.962	0.858	0.185	
0.565	0.537	0.295	0.195	0.503	
0.266	0.455	0.146	0.386	0.745	
0.058	0.505	0.898	0.632	0.641	
0.351	0.986	0.132	0.266	0.763	
0.881	0.177	0.484	0.714	0.587	
0.364	0.337	0.683	0.348	0.327	
0.920	0.037	0.664	0.148	0.082	
0.201	0.883	0.826	0.109	0.414	
0.027	0.633	0.083	0.486	0.150	
0.678	0.267	0.254	0.882	0.425	
0.671	0.278	0.510	0.858	0.645	
0.500	0.631	0.047	0.421	0.065	
0.572	0.320	0.277	0.331	0.032	
0.871	0.815	0.145	0.491	0.673	
0.719	0.878	0.842	0.091	0.603	
0.667	0.626	0.069	0.086	0.732	
0.290	0.262	0.283	0.754	0.600	
0.760	0.333	0.117	0.211	0.386	
0.737	0.335	0.436	0.695	0.149	
0.608	0.241	0.395	0.547	0.010	
0.641	0.185	0.796	0.692	0.381	
0.016	0.227	0.103	0.045	0.740	
0.299	0.930	0.211	0.679	0.835	
0.985	0.840	0.636	0.883	0.263	
0.573	0.750	0.944	0.663	0.078	
0.693	0.149	0.710	0.587	0.440	
0.523	0.024	0.346	0.434	0.360	
0.051	0.604	0.920	0.615	0.920	
0.696	0.233	0.947	0.813	0.987	
0.391	0.774	0.617	0.455	0.378	
0.092	0.685	0.960	0.570	0.117	
0.161	0.449	0.258	0.021	0.965	
0.622	0.184	0.430	0.820	0.603	
0.696	0.264	0.866	0.848	0.595	
0.066	0.019	0.428	0.885	0.481	
0.065	0.984	0.093	0.961	0.532	
0.891	0.690	0.622	0.818	0.339	
0.594	0.527	0.831	0.664	0.788	
0.739	0.072	0.020	0.853	0.677	
0.806	0.062	0.332	0.922	0.407	
0.681	0.657	0.923	0.598	0.201	
0.995	0.339	0.752	0.778	0.567	
0.923	0.427	0.357	0.177	0.884	
0.112	0.410	0.966	0.926	0.891	
0.202	0.534	0.926	0.188	0.385	
0.363	0.504	0.288	0.280	0.071	
0.645	0.341	0.183	0.965	0.464	
0.333	0.444	0.934	0.228	0.184	
0.560	0.906	0.773	0.586	0.205	
0.146	0.833	0.468	0.314	0.301	
0.774	0.051	0.851	0.762	0.341	
0.474	0.958	0.740	0.737	0.662	
0.895	0.818	0.550	0.382	0.363	
0.521	0.584	0.592	0.679	0.966	
0.577	0.498	0.612	0.589	0.428	
0.483	0.075	0.426	0.044	0.889	
0.547	0.548	0.543	0.408	0.750	
0.523	0.632	0.583	0.943	0.749	
0.853	0.255	0.262	0.607	0.062	
0.293	0.184	0.158	0.722	0.071	
0.407	0.424	0.425	0.754	0.226	
0.508	0.443	0.012	0.818	0.842	
0.375	0.245	0.794	0.913	0.042	
0.563	0.289	0.775	0.300	0.228	
0.400	0.433	0.957	0.894	0.170	
0.074	0.187	0.835	0.202	0.974	
0.632	0.414	0.226	0.047	0.172	
0.303	0.749	0.496	0.708	0.960	
0.344	0.808	0.715	0.350	0.419	
0.298	0.367	0.437	0.988	0.106	
0.349	0.957	0.747	0.440	0.992	
0.197	0.378	0.582	0.923	0.759	
0.947	0.303	0.858	0.498	0.566	
0.050	0.080	0.563	0.623	0.265	
